School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Impact Measure,Impact Value
20232024,059,KENTON,026,Beechwood Independent,,All Schools,026000,,,905,NKCES,,School Leadership,59
20232024,059,KENTON,026,Beechwood Independent,010,Beechwood Elementary School,026010,059026010,210036000059,905,NKCES,A1,Managing Student Behavior,74
20232024,059,KENTON,026,Beechwood Independent,010,Beechwood Elementary School,026010,059026010,210036000059,905,NKCES,A1,School Climate,81
20232024,059,KENTON,026,Beechwood Independent,010,Beechwood Elementary School,026010,059026010,210036000059,905,NKCES,A1,School Leadership,57
20232024,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,905,NKCES,A1,Managing Student Behavior,69
20232024,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,905,NKCES,A1,School Climate,69
20232024,059,KENTON,026,Beechwood Independent,020,Beechwood High School,026020,059026020,210036000060,905,NKCES,A1,School Leadership,62
20232024,007,BELL,031,Bell County,,All Schools,031000,,,907,SESC,,Managing Student Behavior,74
20232024,007,BELL,031,Bell County,,All Schools,031000,,,907,SESC,,School Climate,70
20232024,007,BELL,031,Bell County,,All Schools,031000,,,907,SESC,,School Leadership,79
20232024,007,BELL,031,Bell County,012,Bell Central School Center,031012,007031012,210039001881,907,SESC,A1,Managing Student Behavior,60
20232024,007,BELL,031,Bell County,012,Bell Central School Center,031012,007031012,210039001881,907,SESC,A1,School Climate,60
20232024,007,BELL,031,Bell County,012,Bell Central School Center,031012,007031012,210039001881,907,SESC,A1,School Leadership,58
20232024,007,BELL,031,Bell County,013,Page School Center,031013,007031013,210039001882,907,SESC,A1,Managing Student Behavior,84
20232024,007,BELL,031,Bell County,013,Page School Center,031013,007031013,210039001882,907,SESC,A1,School Climate,84
20232024,007,BELL,031,Bell County,013,Page School Center,031013,007031013,210039001882,907,SESC,A1,School Leadership,90
20232024,007,BELL,031,Bell County,180,Frakes School Center,031180,007031180,210039000067,907,SESC,A1,Managing Student Behavior,79
20232024,007,BELL,031,Bell County,180,Frakes School Center,031180,007031180,210039000067,907,SESC,A1,School Climate,65
20232024,007,BELL,031,Bell County,180,Frakes School Center,031180,007031180,210039000067,907,SESC,A1,School Leadership,89
20232024,007,BELL,031,Bell County,250,Lone Jack School Center,031250,007031250,210039000068,907,SESC,A1,Managing Student Behavior,81
20232024,007,BELL,031,Bell County,250,Lone Jack School Center,031250,007031250,210039000068,907,SESC,A1,School Climate,83
20232024,007,BELL,031,Bell County,250,Lone Jack School Center,031250,007031250,210039000068,907,SESC,A1,School Leadership,88
20232024,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,007031390,210039000074,907,SESC,A1,Managing Student Behavior,66
20232024,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,007031390,210039000074,907,SESC,A1,School Climate,58
20232024,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,007031390,210039000074,907,SESC,A1,School Leadership,70
20232024,019,CAMPBELL,032,Bellevue Independent,,All Schools,032000,,,905,NKCES,,Managing Student Behavior,49
20232024,019,CAMPBELL,032,Bellevue Independent,,All Schools,032000,,,905,NKCES,,School Climate,50
20232024,019,CAMPBELL,032,Bellevue Independent,,All Schools,032000,,,905,NKCES,,School Leadership,56
20232024,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,905,NKCES,A1,Managing Student Behavior,50
20232024,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,905,NKCES,A1,School Climate,43
20232024,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,905,NKCES,A1,School Leadership,56
20232024,019,CAMPBELL,032,Bellevue Independent,020,Grandview Elementary School,032020,019032020,210042000076,905,NKCES,A1,Managing Student Behavior,48
20232024,019,CAMPBELL,032,Bellevue Independent,020,Grandview Elementary School,032020,019032020,210042000076,905,NKCES,A1,School Climate,58
20232024,019,CAMPBELL,032,Bellevue Independent,020,Grandview Elementary School,032020,019032020,210042000076,905,NKCES,A1,School Leadership,57
20232024,073,MADISON,034,Berea Independent,,All Schools,034000,,,907,SESC,,Managing Student Behavior,67
20232024,073,MADISON,034,Berea Independent,,All Schools,034000,,,907,SESC,,School Climate,56
20232024,073,MADISON,034,Berea Independent,,All Schools,034000,,,907,SESC,,School Leadership,67
20232024,073,MADISON,034,Berea Independent,010,Berea Community Elementary School,034010,073034010,210048000077,907,SESC,A1,Managing Student Behavior,61
20232024,073,MADISON,034,Berea Independent,010,Berea Community Elementary School,034010,073034010,210048000077,907,SESC,A1,School Climate,53
20232024,073,MADISON,034,Berea Independent,010,Berea Community Elementary School,034010,073034010,210048000077,907,SESC,A1,School Leadership,62
20232024,073,MADISON,034,Berea Independent,015,Berea Community Middle School,034015,073034015,210048001658,907,SESC,A1,Managing Student Behavior,76
20232024,073,MADISON,034,Berea Independent,015,Berea Community Middle School,034015,073034015,210048001658,907,SESC,A1,School Climate,67
20232024,073,MADISON,034,Berea Independent,015,Berea Community Middle School,034015,073034015,210048001658,907,SESC,A1,School Leadership,88
20232024,073,MADISON,034,Berea Independent,020,Berea Community High School,034020,073034020,210048000078,907,SESC,A1,Managing Student Behavior,64
20232024,073,MADISON,034,Berea Independent,020,Berea Community High School,034020,073034020,210048000078,907,SESC,A1,School Climate,48
20232024,073,MADISON,034,Berea Independent,020,Berea Community High School,034020,073034020,210048000078,907,SESC,A1,School Leadership,53
20232024,008,BOONE,035,Boone County,,All Schools,035000,,,905,NKCES,,Managing Student Behavior,63
