School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Teacher Count,Teacher Turnover Count,Turnover Percent
20232024,007,BELL,031,Bell County,013,Page School Center,031013,007031013,210039001882,907,SESC,A1,23,4,17.4
20232024,007,BELL,031,Bell County,040,Bell County High School,031040,007031040,210039000062,907,SESC,A1,49,7,14.3
20232024,007,BELL,031,Bell County,180,Frakes School Center,031180,007031180,210039000067,907,SESC,A1,11,3,27.3
20232024,007,BELL,031,Bell County,250,Lone Jack School Center,031250,007031250,210039000068,907,SESC,A1,15,2,13.3
20232024,007,BELL,031,Bell County,345,Right Fork School Center,031345,007031345,210039000072,907,SESC,A1,16,4,25.0
20232024,007,BELL,031,Bell County,390,Yellow Creek School Center,031390,007031390,210039000074,907,SESC,A1,34,6,17.6
20232024,019,CAMPBELL,032,Bellevue Independent,,All Schools,032000,,,905,NKCES,,48,12,25.0
20232024,019,CAMPBELL,032,Bellevue Independent,010,Bellevue High School,032010,019032010,210042000075,905,NKCES,A1,26,5,19.2
20232024,019,CAMPBELL,032,Bellevue Independent,020,Grandview Elementary School,032020,019032020,210042000076,905,NKCES,A1,22,7,31.8
20232024,073,MADISON,034,Berea Independent,,All Schools,034000,,,907,SESC,,102,39,38.2
20232024,073,MADISON,034,Berea Independent,010,Berea Community Elementary School,034010,073034010,210048000077,907,SESC,A1,41,20,48.8
20232024,073,MADISON,034,Berea Independent,015,Berea Community Middle School,034015,073034015,210048001658,907,SESC,A1,24,6,25.0
20232024,073,MADISON,034,Berea Independent,020,Berea Community High School,034020,073034020,210048000078,907,SESC,A1,37,13,35.1
20232024,008,BOONE,035,Boone County,,All Schools,035000,,,905,NKCES,,"1,525",266,17.4
20232024,008,BOONE,035,Boone County,005,A M Yealey Elementary School,035005,008035005,210051000079,905,NKCES,A1,45,6,13.3
20232024,008,BOONE,035,Boone County,006,Erpenbeck Elementary School,035006,008035006,210051001710,905,NKCES,A1,46,3,6.5
20232024,008,BOONE,035,Boone County,008,North Pointe Elementary School,035008,008035008,210051001883,905,NKCES,A1,35,6,17.1
20232024,008,BOONE,035,Boone County,010,Camp Ernst Middle School,035010,008035010,210051001971,905,NKCES,A1,59,10,16.9
20232024,008,BOONE,035,Boone County,011,Shirley Mann Elementary School,035011,008035011,210051002022,905,NKCES,A1,50,10,20.0
20232024,008,BOONE,035,Boone County,012,Thornwilde Elementary School,035012,008035012,210051002290,905,NKCES,A1,48,5,10.4
20232024,008,BOONE,035,Boone County,015,Randall K. Cooper High School,035015,008035015,210051002206,905,NKCES,A1,93,21,22.6
20232024,008,BOONE,035,Boone County,017,Longbranch Elementary School,035017,008035017,210051002245,905,NKCES,A1,56,5,8.9
